employee_id,employee_name,action,timestamp,date,notes,Employee ID,Name,Action,Timestamp,Date,End-of-Day Report
15839.0,Michael Jackson,IN,2025-12-05T08:00:33,2025-12-05,,,,,,,
15839.0,Michael Jackson,OUT,2025-12-05T08:00:37,2025-12-05,,,,,,,
,,,,,,0.0,John Doe,IN,2025-12-05T08:09:41,2025-12-05,"Carpenters arrivede on time, foundation is coming up as scheduled"
,,,,,,0.0,John Doe,OUT,2025-12-05T08:09:48,2025-12-05,"Carpenters arrivede on time, foundation is coming up as scheduled"
,,,,,,0.0,John Doe,IN,2025-12-05T08:09:54,2025-12-05,"Carpenters arrivede on time, foundation is coming up as scheduled"
,,,,,,0.0,John Doe,OUT,2025-12-05T08:09:55,2025-12-05,"Carpenters arrivede on time, foundation is coming up as scheduled"
,,,,,,23000.0,John Doe,IN,2025-12-05T08:10:00,2025-12-05,"Carpenters arrivede on time, foundation is coming up as scheduled"
,,,,,,23000.0,John Doe,OUT,2025-12-05T08:10:01,2025-12-05,"Carpenters arrivede on time, foundation is coming up as scheduled"
,,,,,,14353.0,Harsh,IN,2025-12-05T16:05:35,2025-12-05,Work NextCrp on schedule moving to the next stage
,,,,,,14353.0,Harsh,OUT,2025-12-05T16:05:37,2025-12-05,Work NextCrp on schedule moving to the next stage
,,,,,,36345.0,Man Dan,IN,2025-12-08T03:09:26,2025-12-08,sick after 3pm
,,,,,,36345,Man Dan,OUT,2025-12-08T03:09:27,2025-12-08,sick after 3pm
